id,name,address1,address2,city,zip_code,review_count,categories,rating,price
2182390,Saucy Asian,5614 Bay Street,210, San Francisco,94608,22,"Asian, B, B, Q",5,$
0031423dca,Perilla - Irving St.,836 Irving Street, , San Francisco,94122,100+,"Vietnamese, Noodles, Healthy, Fast",0,$
00da776500,Begoni Bistro,615 Jackson St, , San Francisco,94133,new,"Chinese, Asian, Noodles, Dumpling",0,$
00f369d788,Royal Kitchen Indian Restaurant,175 98th Ave, , San Francisco,94603,91,"Indian, Vegetarian",5,$
0161dacdc3,Ariel's Breakfast,2845 Mission St, , San Francisco,94110,51,"Mexican, Latin",5,$
01dcc92ebe,Two Sons' Sandwiches,2249 17th St, , San Francisco,94110,36,"Deli, Sandwiches, Salads, Cafe, American, Group",5,$
01e89fdba9,Izumi Kaiten Sushi,1737 Post Street, , San Francisco,94115,13,"Sushi, Asian, Japanese, Group",4,$
02203eaa3f,Zen Yai Thai Restaurant,771 Ellis St, , San Francisco,94109,53,"Asian, Thai, Noodles",5,$
02946fa0da,Pho Huyen & Banh Mi,1612 International Boulevard, , San Francisco,94606,82,"Vietnamese, Noodles, Pho",5,$
0308b0463d,Isabella Restaurant,3263 Mission Street, , San Francisco,94110,11,Latin,5,$
04252c8138,Healthyish Gluten Free Bowls,2990 24th Street, , San Francisco,94110,new,Gluten,0,$
506174318,Kitchen Story,3499 16th St, , San Francisco,94114,69,Asian,5,$
052cd561b0,Mustafio's Pizza,1116 Polk St, , San Francisco,94109,new,"Italian, Pizza, Exclusive",0,$
056e718c4d,Pakwan Restaurant,501 O'Farrell St, , San Francisco,94102,36,"Indian, Vegetarian",5,$
05f82f907b,India Clay Oven,2436 Clement St, , San Francisco,94121,29,Indian,5,$
0754edb175,Bizza,1463 Haight St, , San Francisco,94117,30,"Pizza, Salads, Vegan",5,$
0832a304d4,Taco Boys,2312 Market St, , San Francisco,94114,93,"Mexican, Latin",5,$
086e56c6e5,Za'atar Mediterranean,1750 Cesar Chavez , Unit D, San Francisco,94124,100+,"Mediterranean, Vegetarian",0,$
0a03d5d682,Big Baba Eats,198 Broad St, , San Francisco,94112,new,"Mediterranean, Greek, Vegetarian",0,$
0bf8ef23a9,Old Mandarin Islamic Restaurant,3132 Vicente St, , San Francisco,94116,23,"Chinese, Asian, Asian",5,$
0c253074b0,Burger of Glory (Mission St),2020 Mission St, , San Francisco,94110,new,"American, Fast",0,$
0dbc92ae84,Iza Ramen Lower Haight,237 Fillmore St, , San Francisco,94117,new,"Asian, Noodles, Japanese",0,$
0df63a9290,Taqueria Cazadores,1600 Mission St, , San Francisco,94103,32,Mexican,5,$
0e76a5f695,Jasmine Garden,708 14th St, , San Francisco,94114,22,"Vietnamese, Noodles, Healthy",5,$
12629a3650,Healthyish Mediterranean Bowls,2990 24th Street, , San Francisco,94110,12,Middle,5,$
12ee372d32,Crepes on Cole,100 Carl St, , San Francisco,94117,100+,"American, Breakfast",0,$
133552db9a,Abe's Pizza - San Francisco,940 Market St., , San Francisco,94102,new,"Pizza, American, Italian",0,$
13c0158acf,NAMASTEY PATIO NEPALESE AND INDIAN CUISINE,5500 College Avenue, , San Francisco,94618,new,"Indian, Vegetarian, Asian",0,$
1464405238,Mymy,1500 California St, , San Francisco,94109,27,Breakfast,5,$
15e6938fe5,"Togo's (2300 16th St, San Francisco, CA)",2300 16th St,275, San Francisco,94103,41,Sandwich,5,$
16712e076b,Lettuce Feast! (1234 Polk St.),1234 Polk St., , San Francisco,94109,new,"Salads, Healthy, American",0,$
17237f021b,Amici's East Coast Pizzeria - SOMA,60 Morris St, , San Francisco,94107,43,"Italian, Salads, Pizza",5,$
17b55f47fa,Wooly Pig Cafe,2295 3rd St, , San Francisco,94107,83,"Asian, Rice",5,$
17e803356a,Kusina Ni Tess,237 Ellis St, , San Francisco,94102,30,"Asian, Asian",5,$
18cbc03cf8,Tandoori Mahal,123 2nd St , Unit A, San Francisco,94105,new,"Indian, Vegetarian, Asian, Healthy",0,$
18f27530ce,Seniore's Pizza,2518 Durant Ave, , San Francisco,94704,28,"Pizza, Wings, Family",5,$
18fa1f8a22,Cafe Valencia,1252 Valencia Street, , San Francisco,94110,new,"Brazilian, Coffee",0,$
1997e5009c,Balompie Cafe,3349 18th St, , San Francisco,94110,40,"Salvadorian, Alcohol, South",5,$
19a1110414,North India Restaurant,123 2nd St, , San Francisco,94105,25,"Indian, North",4,$
1a262186dc,Westwood,2036 Lombard Street, , San Francisco,94123,new,"Burgers, American, Sandwiches, B, B, Q, Southern, Wings, Burgers, Chicken, Mexican, Salads, Comfort",0,$
1bbf8935b4,Phoenix Irish Bar & Restaurant,811 Valencia St, , San Francisco,94110,new,"American, Burgers, Sandwiches",0,$
1c69b5e87c,Bamboo Restaurant,1441 Polk St, , San Francisco,94109,35,"Japanese, Chinese, Sushi, Family",5,$
1c78042f2a,Chisme Cantina,882 Sutter St, , San Francisco,94109,73,"Mexican, Latin",5,$
1d1bef3ca1,Icu Deli Inc,496 Eddy Street, , San Francisco,94109,new,"Burgers, American, Sandwiches",0,$
1d62e0ea42,Ly's Vietnamese Cuisine,1779 Lombard Street, , San Francisco,94123,100+,"Vietnamese, Noodles, Healthy",0,$
1d9c9ea5b4,L & G Vietnamese Sandwiches,602 Eddy St, , San Francisco,94109,47,"Asian, Vietnamese, Sandwich",5,$
1e869a57e5,El Capitan Taqueria - Folsom,1198 Folsom St, , San Francisco,94103,87,"Mexican, Latin",4,$
1eba514494,Keeva Indian Kitchen,908 Clement St, , San Francisco,94118,51,"Indian, Family",5,$
1fc20f2db2,Purple Rice,509 Haight St, , San Francisco,94117,81,"Korean, Asian, B, B, Q, Alcohol, Group",5,$
1ff0db962d,Star India Restaurant,3721 Geary Blvd, , San Francisco,94118,31,"Indian, Vegan, Vegetarian, Alcohol, Group",4,$
23984fd937,Jade Palace Chinese Kitchen,2531 Macarthur Blvd, , San Francisco,94602,44,"Chinese, Asian, Asian",4,$
2421627fe4,Chowking (3589 Callan Blvd),3589 Callan Blvd, , San Francisco,94080,25,"Noodles, Dim",5,$
2516509005,707 Sutter,707 Sutter St, , San Francisco,94109,64,"Korean, Asian, B, B, Q, Alcohol, Family",5,$
2555fc9693,Grub Zone (Valencia St),178 Valencia St, , San Francisco,94103,15,"Pizza, Bar",5,$
26fc646826,Poke Bar (555 California St.),555 California St., , San Francisco,94104,new,"Asian, Hawaiian, Healthy, Vegetarian, Seafood",0,$
2790d681ba,Green Island Restaurant,4012 Geary Blvd, , San Francisco,94118,32,"Chinese, Asian, Asian",5,$
28eacc34a2,Split,560 Mission St, , San Francisco,94105,new,Breakfast,0,$
2908ececf7,Extreme Pizza - SOMA,1062 Folsom St, , San Francisco,94103,21,"Pizza, Italian, Sandwich, Group",4,$
290ac08b80,lulubowls (Hawaiian-Inspired Bowls- SOMA),60 Morris St., , San Francisco,94107,35,"Healthy, Asian, Vegan, Gluten",5,$
2aa129a3d5,Mehfil Indian Restaurant,88 2nd St, , San Francisco,94105,new,"Indian, Vegetarian",0,$
2cacdc3dc9,Moe's Good Burger,606 Geary St, , San Francisco,94109,new,"Mediterranean, Greek, Vegetarian, Healthy",0,$
2cf35024af,Lin's Chinese Kitchen,337 Jones St, , San Francisco,94102,26,"Chinese, Fast",5,$
2d9ecc1add,Golden Lotus Vegan Restaurant,1301 Franklin St, , San Francisco,94612,45,"Healthy, Vegetarian, Asian",5,$
2dc02c5965,Cocina Mayah,2909 16th St, , San Francisco,94110,new,"Mexican, New",0,$
2f323cf482,Fresh and Best Cafe 2,1428 Alice St, , San Francisco,94612,14,Juice,5,$
307bb4d5a2,Ginto Express MISSION,1552 Howard Street, , San Francisco,94103,100+,"Asian, Japanese, Rice",0,$
31710e31b2,Cafe Europa,4318 California Street, , San Francisco,94118,new,Eastern,0,$
336c374783,City Chopsticks,883 Bush St, , San Francisco,94108,100+,"Chinese, Family",0,$
33d047750d,YH-Beijing,500 Haight St, , San Francisco,94117,100+,"Chinese, Asian, Chicken, Eats",0,$
34348953ad,Ladle & Leaf - 50 Post,50 Post St Ste 3, , San Francisco,94104,28,"Sandwich, Healthy, American, Vegetarian, Comfort",5,$
345e15f27b,Dragon River Restaurant,5045 Geary Boulevard, , San Francisco,94118,new,"Chinese, Asian, Asian",0,$
34f6c6ed9e,Kan Kiin Restaurant,201 Southgate Avenue, , San Francisco,94015,new,Asian,0,$
3627942b30,Casa Barajas (at Chug Pub),1849 Lincoln Way, , San Francisco,94122,15,"Pub, Spanish, Salads, Healthy",5,$
365846447d,Bistro Central Parc,560 Central Avenue, , San Francisco,94117,new,"Italian, Pasta, Salads",0,$
37132ebe04,Terra cotta warrior,2555 Judah St, , San Francisco,94122,32,"Asian, Salads, Noodles, Healthy",5,$
378d5b80ce,JotMahal,1543 Shattuck Ave, , San Francisco,94709,31,Indian,5,$
389707b930,Ben Thai Cafe,1331 Polk St, , San Francisco,94109,100+,"Thai, Asian, Noodles, Salads, Coffee",0,$
3a809a16e4,Saucey Skewer by Fresco Inc,1338 Polk St, , San Francisco,94109,new,"Mediterranean, Kebab, Healthy",0,$
3b0845a988,Honey Honey Cafe & Crepery,599 Post St, , San Francisco,94102,25,"Burgers, American, Sandwiches",5,$
3b46ab3289,Namu Stonepot - Mid Market,59 9th Street, , San Francisco,94103,new,"Asian, Asian",0,$
3b61980909,Halal Corner,1338 Polk Street, , San Francisco,94109,new,"Pizza, Italian, Sandwiches",0,$
3bbe1ca069,Shawarma House,1534 California St, , San Francisco,94109,new,"Pizza, American, Italian",0,$
3d056365c3,Holly's Mandarin,4080 Piedmont Ave, , San Francisco,94611,100+,"Chinese, Asian, Asian",0,$
3d385db1f9,Bini's Kitchen LLC,1001 Howard St, , San Francisco,94103,new,"Himalayan, Asian",0,$
3f9bd7c17e,Parada 22,1805 Haight St, , San Francisco,94117,new,"Caribbean, Seafood, Latin",0,$
419de38fc7,House of Curries - Sacramento St,3136 Sacramento Street, , San Francisco,94702,30,"Indian, Pakistani, Halal, Group",5,$
